Nigeria;America;accede_to
Pushilin;Lenin;stand_in
Pushilin;Russia;stand_in
Pushilin;Lenin;stand_in
Pushilin;Russia;stand_in
Pushilin;Lenin;stand_in
Pushilin;Russia;stand_in
Pushilin;Lenin;stand_in
Pushilin;Russia;stand_in
Pushilin;Lenin;stand_in
Pushilin;Russia;stand_in
Pushilin;Lenin;stand_in
Pushilin;Russia;stand_in
Pushilin;Lenin;stand_in
Pushilin;Russia;stand_in
Pushilin;Lenin;stand_in
Pushilin;Russia;stand_in
Pushilin;Lenin;stand_in
Pushilin;Russia;stand_in
Pushilin;Lenin;stand_in
Pushilin;Russia;stand_in
Pushilin;Lenin;stand_in
Pushilin;Russia;stand_in
Pushilin;Lenin;stand_in
Pushilin;Russia;stand_in
Pushilin;Lenin;stand_in
Pushilin;Russia;stand_in
Pushilin;Lenin;stand_in
Pushilin;Russia;stand_in
Pushilin;Lenin;stand_in
Pushilin;Russia;stand_in
Pushilin;Lenin;stand_in
Pushilin;Russia;stand_in
Pushilin;Lenin;stand_in
Pushilin;Russia;stand_in
Pushilin;Lenin;stand_in
Pushilin;Russia;stand_in
Pushilin;Lenin;stand_in
Pushilin;Russia;stand_in
Pushilin;Lenin;stand_in
Pushilin;Russia;stand_in
Pushilin;Lenin;stand_in
Pushilin;Russia;stand_in
Kiev;Lenin;start
Kiev;Leningrad;start
Caucasus;Azerbaijan;start_with
Alliance;Europe;stop_at
Putin;Russia;stress
Putin;Russia;stress
Ukraine;Putin;submit_to
Ukraine;Russia;submit_to
Russia;Ukraine;supply_gas_to
Moscow;Ukraine;support
United States;Russia;suspend_cooperation_with
Washington;Sudan;take_on
Washington;Sudan;take_on
Morgulov;Tokyo;take_place_in
United States;Iran;take_position_on
Ukraine;Geneva;take_step_to_implement
Peskov;Russia;tell
State Department;Washington;tell_reporter_in
Putin;Crimea;thank
Merkel;Russia;threaten
Feodosia;Crimea;transfer_to
Obama;Korea;travel_to
Ukraine;Europe;urge
Russia;Hagel;urge
Human Rights Council;Ukraine;urge
Alliance;Obama;urge
Foreign Ministry;Kiev;urge
Netanyahu;Abbas;urge
Netanyahu;London;urge
Foreign Ministry;Europe;urge
Europe;Russia;urge
Lukashenko;Russia;urge
Russia;Hagel;urge
Rouhani;Pakistan;urge
Moscow;OSCE;use
Putin;Colombia;use
United States;Ukraine;use_force_to_protect
Air Force;America;use_in
Putin;King;visit
Obama;Japan;visit
