"Url","Source","Title","Published"
"http://en.itar-tass.com/economy/729826?utm_medium=rss20","TASS","EU signs 1 billion euro 13 billion memorandum in aid for Ukraine","Mon- 28 Apr 2014 16-13-44 +0400"
"http://en.itar-tass.com/world/729827?utm_medium=rss20","TASS","No reasons to use the 2011 Vienna document over Russiaâ€™s military exercises in Ukraine","Mon- 28 Apr 2014 17-24-46 +0400"
"http://en.itar-tass.com/russia/729830?utm_medium=rss20","TASS","Russia ready to welcome Ukraineâ€™s defense sector specialists â€” Putin","Mon- 28 Apr 2014 17-24-45 +0400"
"http://en.itar-tass.com/world/729837?utm_medium=rss20","TASS","USA announces new sanctions against Russia","Mon- 28 Apr 2014 17-23-14 +0400"
"http://en.itar-tass.com/world/729832?utm_medium=rss20","TASS","Ukraine should launch dialogue with Russia â€” presidential candidate","Mon- 28 Apr 2014 17-32-22 +0400"
"http://en.itar-tass.com/economy/729834?utm_medium=rss20","TASS","Slovakia agrees on gas reverse supplies to Ukraine","Mon- 28 Apr 2014 17-47-06 +0400"
"http://en.itar-tass.com/russia/729833?utm_medium=rss20","TASS","Military observers detained German Russian foreign ministers assess Ukraine seizure ","Mon- 28 Apr 2014 17-41-59 +0400"
"http://en.itar-tass.com/world/729842?utm_medium=rss20","TASS","Gunman aimed to kill Kharkiv mayor â€” presidential candidate","Mon- 28 Apr 2014 18-34-58 +0400"
"http://en.itar-tass.com/russia/729848?utm_medium=rss20","TASS","Moscow urges international community to condemn human rights violations in Ukraine","Mon- 28 Apr 2014 18-55-20 +0400"
"http://en.itar-tass.com/world/729846?utm_medium=rss20","TASS","Protesters in Luhansk region name condition for vacating Security Service building","Mon- 28 Apr 2014 18-52-49 +0400"
"http://en.itar-tass.com/russia/729854?utm_medium=rss20","TASS","Water supply problem in Crimea to cost 247- 417 million - Kremlin aide","Mon- 28 Apr 2014 20-14-03 +0400"
"http://en.itar-tass.com/economy/729851?utm_medium=rss20","TASS","Belarus to cut export duties of oil petroleum products to Russiaâ€™s level from May 1","Mon- 28 Apr 2014 19-55-32 +0400"
"http://en.itar-tass.com/russia/729855?utm_medium=rss20","TASS","Russiaâ€™s Foreign Minister Crown Prince of Bahrain discuss Ukraine situation","Mon- 28 Apr 2014 20-30-14 +0400"
"http://en.itar-tass.com/world/729858?utm_medium=rss20","TASS","New sanctions against Russia not to help solve Ukrainian crisis","Mon- 28 Apr 2014 20-57-18 +0400"
"http://en.itar-tass.com/world/729859?utm_medium=rss20","TASS","Western sanctions against Russia not to affect rouble economy - Kremlin aide","Mon- 28 Apr 2014 21-13-08 +0400"
"http://en.itar-tass.com/russia/729869?utm_medium=rss20","TASS","FM Westâ€™s accusations of Russiaâ€™s noncompliance with Geneva agreement unfounded","Mon- 28 Apr 2014 23-24-02 +0400"
"http://en.itar-tass.com/world/729862?utm_medium=rss20","TASS","US unilateral sanctions against Russia unlawful","Mon- 28 Apr 2014 21-50-31 +0400"
"http://en.itar-tass.com/russia/729875?utm_medium=rss20","TASS","Shoigu denies Russian sabotage-reconnaissance groups operate in Ukraine","Mon- 28 Apr 2014 23-41-47 +0400"
"http://en.itar-tass.com/economy/729865?utm_medium=rss20","TASS","Ukraine ready to pay debt to Gazprom at 268","Tue- 29 Apr 2014 00-08-18 +0400"
"http://en.itar-tass.com/russia/729876?utm_medium=rss20","TASS","Lavrov to visit Nicaragua April 29 for talks with Ortega","Tue- 29 Apr 2014 00-19-06 +0400"
"http://en.itar-tass.com/world/729872?utm_medium=rss20","TASS","Donetsk region proposes nationwide referendum on regionsâ€™ powers May 25","Tue- 29 Apr 2014 00-15-02 +0400"
"http://en.itar-tass.com/world/729871?utm_medium=rss20","TASS","Ukrainian radicals attack peaceful antifascist procession in Donetsk","Tue- 29 Apr 2014 00-13-18 +0400"
"http://en.itar-tass.com/economy/729868?utm_medium=rss20","TASS","Russian manufacturer of heavy-duty trucks sells Ukrainian segment of business to partner","Tue- 29 Apr 2014 00-10-57 +0400"
"http://en.itar-tass.com/economy/729864?utm_medium=rss20","TASS","Bahrain has no plans to buy Russiaâ€™s SuperJet-100 liner","Tue- 29 Apr 2014 01-08-31 +0400"
"http://en.itar-tass.com/economy/729655?utm_medium=rss20","TASS","MasterCard to estimate effects of Russiaâ€™s own future payment system","Sat- 26 Apr 2014 03-57-55 +0400"
"http://en.itar-tass.com/russia/729654?utm_medium=rss20","TASS","Russian diplomat detentions of journalists in Ukraine abuse freedom of speech","Sat- 26 Apr 2014 02-49-22 +0400"
"http://en.itar-tass.com/world/729651?utm_medium=rss20","TASS","Kiev authorities Russia should dissociate itself from protesters in southeastern regions","Sat- 26 Apr 2014 00-36-43 +0400"
"http://en.itar-tass.com/world/729647?utm_medium=rss20","TASS","Ukrainian troops destroy check point of federalization supporters near Slavyansk","Fri- 25 Apr 2014 23-50-35 +0400"
"http://en.itar-tass.com/world/729638?utm_medium=rss20","TASS","Kiev afraid Ukraineâ€™s center and west may arise along with southeast â€” president nominee","Fri- 25 Apr 2014 21-01-21 +0400"
"http://en.itar-tass.com/russia/729635?utm_medium=rss20","TASS","Russia urges to immediately stop combat operations in Ukraine","Fri- 25 Apr 2014 20-43-50 +0400"
"http://en.itar-tass.com/world/729637?utm_medium=rss20","TASS","USA declares readiness to impose targeted sanctions against Russia","Fri- 25 Apr 2014 20-19-12 +0400"
"http://en.itar-tass.com/world/729634?utm_medium=rss20","TASS","Russia Lebanon cooperating in oil and gas sector â€” Lebanese foreign minister","Fri- 25 Apr 2014 20-00-50 +0400"
"http://en.itar-tass.com/economy/729633?utm_medium=rss20","TASS","External circumstances must prompt Russia to use ruble in foreign trade â€” 1st deputy PM","Fri- 25 Apr 2014 19-55-04 +0400"
"http://en.itar-tass.com/world/729628?utm_medium=rss20","TASS","US UK Germany Italy and France leaders call for new sanctions against Russia","Fri- 25 Apr 2014 18-52-48 +0400"
"http://en.itar-tass.com/economy/729619?utm_medium=rss20","TASS","No politics behind bans on food imports","Fri- 25 Apr 2014 17-53-34 +0400"
"http://en.itar-tass.com/world/729608?utm_medium=rss20","TASS","Eurasian Economic Council not to invite observers to its Minsk session","Fri- 25 Apr 2014 16-00-16 +0400"
"http://en.itar-tass.com/russia/729590?utm_medium=rss20","TASS","No word from US on defence chief phone talk with Russiaâ€™s Shoigu â€” ministry","Fri- 25 Apr 2014 14-54-48 +0400"
"http://en.itar-tass.com/economy/729591?utm_medium=rss20","TASS","Russia EU Ukraine may have gas talks soon â€” presidential aide","Fri- 25 Apr 2014 14-44-21 +0400"
"http://en.itar-tass.com/economy/729586?utm_medium=rss20","TASS","Russian inflation hits 7.2% year-on-year","Fri- 25 Apr 2014 14-34-11 +0400"
"http://en.itar-tass.com/russia/729559?utm_medium=rss20","TASS","Lavrov Russia to insist on respect to Geneva accord","Fri- 25 Apr 2014 11-59-49 +0400"
"http://en.itar-tass.com/economy/729550?utm_medium=rss20","TASS","Customs tariff on crude oil from Prirazlomny and Korchagin oil fields","Fri- 25 Apr 2014 11-01-05 +0400"
"http://en.itar-tass.com/russia/729544?utm_medium=rss20","TASS","Russia s decision on Crimea helped avoid casualties â€” Medvedev","Fri- 25 Apr 2014 09-40-36 +0400"
"http://en.itar-tass.com/world/729542?utm_medium=rss20","TASS","Russia not to face shortage of any food products because of sanctions â€” minister","Fri- 25 Apr 2014 09-23-35 +0400"
"http://en.itar-tass.com/economy/729433?utm_medium=rss20","TASS","Sanctions against Russia to affect French companies French commerce chief warns","Thu- 24 Apr 2014 18-30-00 +0400"
"http://en.itar-tass.com/world/729435?utm_medium=rss20","TASS","Eastern Ukrainian region demands withdrawal of Kiev troops","Thu- 24 Apr 2014 18-25-11 +0400"
"http://en.itar-tass.com/world/729432?utm_medium=rss20","TASS","Radicals behaviour in Ukraine poll run-up reinforces Russian doubt ","Thu- 24 Apr 2014 17-42-24 +0400"
"http://en.itar-tass.com/world/729429?utm_medium=rss20","TASS","Eastern Ukrainian region announces mobilization","Thu- 24 Apr 2014 17-25-26 +0400"
"http://en.itar-tass.com/russia/729428?utm_medium=rss20","TASS","Shoigu 11 000 servicemen involved in operation against civilians in Ukraineâ€™s southeast","Thu- 24 Apr 2014 17-11-02 +0400"
"http://en.itar-tass.com/economy/729423?utm_medium=rss20","TASS","Russian-Ukrainian trade volume down by 25%","Thu- 24 Apr 2014 17-01-50 +0400"
"http://en.itar-tass.com/economy/729406?utm_medium=rss20","TASS","Russia EC Ukraine meeting ahead for gas talks â€” EU envoy","Thu- 24 Apr 2014 16-21-29 +0400"
"http://en.itar-tass.com/world/729414?utm_medium=rss20","TASS","Putin Sanctions have several pluses for Russian economy","Thu- 24 Apr 2014 16-02-29 +0400"
"http://en.itar-tass.com/world/729408?utm_medium=rss20","TASS","Party of Regions Russian language must be recognized as second official","Thu- 24 Apr 2014 15-48-40 +0400"
"http://en.itar-tass.com/world/729392?utm_medium=rss20","TASS","Russian delegation not to participate in June PACE session - Russian lawmaker","Thu- 24 Apr 2014 15-25-22 +0400"
"http://en.itar-tass.com/russia/729402?utm_medium=rss20","TASS","Kiev authorities should make first step toward national reconciliation â€” Lavrov","Thu- 24 Apr 2014 15-17-25 +0400"
"http://en.itar-tass.com/world/729386?utm_medium=rss20","TASS","US EU former opposition to be blamed for Ukraine situation MP says","Thu- 24 Apr 2014 15-17-04 +0400"
"http://en.itar-tass.com/world/729375?utm_medium=rss20","TASS","East Ukraine s Sloviansk under attack one killed â€” media","Thu- 24 Apr 2014 13-54-40 +0400"
"http://en.itar-tass.com/russia/729371?utm_medium=rss20","TASS","Moscow hopes US will stop its far-fetched insinuations about Russia â€” Foreign Ministry","Thu- 24 Apr 2014 12-49-05 +0400"
"http://en.itar-tass.com/russia/729364?utm_medium=rss20","TASS","Crimea faces crop loss at 120 000 hectares due to water supply limiting by Kiev","Thu- 24 Apr 2014 12-42-30 +0400"
"http://en.itar-tass.com/world/729369?utm_medium=rss20","TASS","Awaiting Kiev s military operation situation in eastern regions of Ukraine","Thu- 24 Apr 2014 12-18-18 +0400"
"http://en.itar-tass.com/world/729357?utm_medium=rss20","TASS","Ukraine should not be field of geopolitical stand-off â€” Lavrov","Thu- 24 Apr 2014 10-45-32 +0400"
"http://en.itar-tass.com/world/729352?utm_medium=rss20","TASS","Donetsk activists seized by security service","Thu- 24 Apr 2014 10-14-08 +0400"
"http://en.itar-tass.com/world/729350?utm_medium=rss20","TASS","No instructions for retaliatory restrictions on Ukrainians to enter Russia â€” minister","Thu- 24 Apr 2014 09-44-28 +0400"
"http://en.itar-tass.com/russia/729349?utm_medium=rss20","TASS","1 800 tons of relief supplies delivered to Russiaâ€™s Crimea from regions","Thu- 24 Apr 2014 09-39-39 +0400"
"http://en.itar-tass.com/economy/729347?utm_medium=rss20","TASS","Russiaâ€™s Central Bank revokes license from Moscow National Bank of Business Development","Thu- 24 Apr 2014 09-27-47 +0400"
"http://en.itar-tass.com/economy/729341?utm_medium=rss20","TASS","Russiaâ€™s Central Bank revokes license from Moscow bank Mestny Kredit","Thu- 24 Apr 2014 08-52-20 +0400"
"http://en.itar-tass.com/world/729340?utm_medium=rss20","TASS","Canada to send 500 observers to Ukraine s presidential election","Thu- 24 Apr 2014 08-35-37 +0400"
"http://en.itar-tass.com/world/729336?utm_medium=rss20","TASS","Donetsk republican leaders not to hold Ukraine presidential elections on May 25","Thu- 24 Apr 2014 08-04-49 +0400"
"http://en.itar-tass.com/world/729334?utm_medium=rss20","TASS","Lawmakers still unable to agree on memorandum on settlement in eastern Ukraine","Thu- 24 Apr 2014 06-25-19 +0400"
"http://en.itar-tass.com/world/729328?utm_medium=rss20","TASS","Ukraine s Foreign Ministry troops in eastern Ukraine protecting citizens","Thu- 24 Apr 2014 05-04-34 +0400"
"http://en.itar-tass.com/economy/729333?utm_medium=rss20","TASS","Ukraine preparing to complain to WTO over restrictions on supplies to Russia","Thu- 24 Apr 2014 04-51-56 +0400"
"http://en.itar-tass.com/world/729332?utm_medium=rss20","TASS","Ukraine s extremists forming battalion in Donetsk region","Thu- 24 Apr 2014 03-55-47 +0400"
"http://en.itar-tass.com/russia/729331?utm_medium=rss20","TASS","Russian Lebanese foreign ministers to discuss situation in Middle East Ukraine Syria","Thu- 24 Apr 2014 03-21-18 +0400"
"http://en.itar-tass.com/economy/729323?utm_medium=rss20","TASS","China not ready to buy more Russian gas above 38 bcm being discussed","Thu- 24 Apr 2014 02-55-15 +0400"
