Nigeria;America;accede_to
United States;Poland;conduct_exercise_in
United States;Poland;conduct_exercise_in
United States;Poland;conduct_exercise_in
United States;Poland;conduct_exercise_in
United States;Poland;conduct_exercise_in
United States;Poland;conduct_exercise_in
United States;Poland;conduct_exercise_in
United States;Poland;conduct_exercise_in
United States;Poland;conduct_exercise_in
United States;Poland;conduct_exercise_in
United States;Poland;conduct_exercise_in
United States;Poland;conduct_exercise_in
United States;Poland;conduct_exercise_in
United States;Poland;conduct_exercise_in
United States;Poland;conduct_exercise_in
United States;Poland;conduct_exercise_in
United States;Poland;conduct_exercise_in
CDC;India;confirm
CDC;Indiana;confirm
Russia;RT;continue
Armed Forces;EU;contradict
Armed Forces;SS;contradict
Armed Forces;UN;contradict
Armed Forces;Europe;contradict
Russia;UN;control
Ukraine;RIA;convey
Ukraine;Moscow;convey
Ukraine;Moscow;convey
Nicaragua;King;count_on
Nicaragua;RT;count_on
Nicaragua;SS;count_on
Nicaragua;Russia;count_on
Nicaragua;Russia;count_on
Obama;SS;count_on
Obama;AP;cover
Obama;Japan;cover
Yatsenyuk;Putin;criticize
Yatsenyuk;Putin;criticize
Yatsenyuk;SS;criticize
Yatsenyuk;Russia;criticize
GOP;Obama;criticize
GOP;Obama;criticize
Washington;SS;criticize
Washington;Russia;criticize
EU;Crimea;criticize
Yatsenyuk;Putin;criticize
Yatsenyuk;Putin;criticize
Yatsenyuk;SS;criticize
Yatsenyuk;Russia;criticize
GOP;Obama;criticize
GOP;Obama;criticize
IMF;IMF;cut
Rogozin;Moscow;deliver_to
Rogozin;Moscow;deliver_to
Lavrov;Kerry;denounce
Germany;AP;denounce
Putin;United States;depend_on
Putin;UN;depend_on
Putin;Soviet Union;describe
Putin;UN;describe
Sidyakin;National Guard;detain_by
Sidyakin;Ukraine;detain_by
Sidyakin;National Guard;detain_by
Sidyakin;National Guard;detain_by
Sidyakin;Ukraine;detain_by
Ottawa;Ottawa;develop
Odessa;UN;die_from
Medvedev;Europe;disagree_with
Medvedev;EU;disagree_with
Medvedev;Europe;disagree_with
Kiev;SS;disagree_with
Kiev;Russia;disagree_with
Kiev;Russia;disagree_with
Cameron;Ukraine;discuss
Cameron;Ukraine;discuss
Russia;AP;discuss_in
Kiev;AP;do
Kiev;GE;do
Kiev;RT;do
Kiev;SS;do
Kiev;UN;do
Kiev;Kiev;do
RT;United States;do
RT;UN;do
Russia;China;do
Putin;Ukraine;do_in
Chambers;Russia;dominate_by
Chambers;RT;dominate_by
Chambers;SS;dominate_by
Chambers;UN;dominate_by
Chambers;Russia;dominate_by
OSCE;Ukraine;dominate_by
Europe;Ukraine;dominate_by
OSCE;Ukraine;dominate_by
Thailand;King;downgrade_to
Thailand;RT;downgrade_to
Thailand;State Department;downgrade_to
Russia;OSCE;draw_attention_of
Russia;OSCE;draw_attention_of
Sechin;Obama;draw_fire_from
Sechin;Obama;draw_fire_from
Sechin;Obama;draw_fire_from
Sechin;Obama;draw_fire_from
OSCE;Moscow;echo
OSCE;Moscow;echo
Amnesty International;UN;echo
OSCE;Moscow;echo
OSCE;Moscow;echo
Rouhani;UN;elect
Europe;NATO;embark_on
Europe;NATO;embark_on
Paul;CIA;employ_as
Paul;CIA;employ_as
Moscow;UN;end
Timchenko;SS;engage_in
United States;RT;engage_in
Kharkiv;UN;envision
Ukraine;Ukraine;erupt_in
Ukraine;East Ukraine;erupt_in
Ukraine;Ukraine;erupt_in
Ukraine;Ukraine;erupt_in
Ukraine;Ukraine;erupt_in
Ukraine;Ukraine;erupt_in
China;China;establish_in
Kolomoysky;Forbes;estimate_by
EU;SS;expand
EU;Russia;expand
Lavrov;Kiev;express_concern_at
Lavrov;Kiev;express_concern_at
Lavrov;Kiev;express_concern_at
Lavrov;Kiev;express_concern_at
Kerry;AP;face
London;Oswald;fight
London;Oswald;fight
Putin;Putin;fight_for
Putin;SS;fight_for
Putin;Russia;fight_for
Yanukovich;SS;flee_to
Yanukovich;Russia;flee_to
Yanukovich;SS;flee_to
Yanukovich;Russia;flee_to
Kerry;South Sudan;fly_to
