leader_Vladimir_Lenin,part_A_portrait_of_Bolshevik_leader_Vladimir_Lenin
city,an_armed_Russian
activist,front_of_policemen
People,flowers
helicopters,downed_Friday
Police,shields
Ukraine,a_eastern_Ukraine_'s
President_Viktor_Yanukovych,February
activist,an_armed_protester
baseball_bats,flares
they,people
Europe,a_news_conference
._Vyacheslav_Ponomarev,mayor_of_Slovyansk
mayor_of_Slovyansk,the_observers
troops,a_barricade
a_gunfight,his_a_man_killed_in_a_gunfight
U.S._troops,an_air_force_base
The_United_States,Poland
armored_vehicles,a_country_road
militants,a_truck
Russian_Foreign_Minister_Sergey_Lavrov,the_West
_Ukraine_'s,the_Russia_pro-Russia
the_southeast,their_the_pro-Russia_insurgents_in_the_southeast_arms
government,the_Maidan_protest_camp
militants,their_Pro-Russia_militants
troops,position
Ukrainian_special_forces,an_abandoned_roadblock
A_Ukrainian_special_forces_member,position_a_position_near_Slovyansk_on_May_12
Slovyansk_Slovyansk,a_church
man,a_street
Demonstrators,a_Russian_pro-Russian
Cars,an_attack
militant,the_roadblock_a_roadblock_in_Slovyansk_on_Sunday
militants,a_roadblock
A_masked_man,a_regional_administration
People,barricades_April_April_18_18
barricades_April_April_18_18,the_regional_administration_building
the_regional_administration_building,Donetsk
Russian_President_Vladimir_Putin,the_media
Russian_forces,the_unrest
_Ukraine_'s,the_first_time
Russians,Crimea_Crimea_interim_Ukrainian_President_Oleksandr_Turchynov
the_peninsula,the_country
Ukrainian_riot_police_officers,a_Ukrainian_pro-Ukrainian_demonstration
protesters,front_of_the_city_hall
John_Kerry,hands
meeting,place_April_April_17
A_masked_gunman,tanks
A_Ukrainian_helicopter,a_column_of_Ukrainian_Army_combat_vehicles
A_man,Ukrainian_soldiers
they,people
soldiers,combat
._Ukrainian_Gen_._Vasily_Krutov,protesters
activists,a_barricade_April_April_15
they,Slovyansk_Slovyansk
troops,munitions
activists,top_of_a_Ukrainian_regional_administration_building
activist,a_shield
Russian_supporters,front_of_the_security_service_building
man,a_Russian_flag
A_Ukrainian_police_officer,medical_care
supporters,a_Ukrainian_pro-Ukrainian
activists,a_man
protesters,a_barricade
riot_shields,a_police_station
