German politician says dispatching of Germany military observers to Ukraine silly action,Mon- 28 Apr 2014 07-58-51 +0400,itar-tass,http://en.itar-tass.com/world/729759?utm_medium=rss20
RF govt to review implementation of state programmes,Mon- 28 Apr 2014 04-56-04 +0400,itar-tass,http://en.itar-tass.com/economy/729769?utm_medium=rss20
Putin to meet lawmakers in Petrozavodsk to discuss integration of Crimea and Sevastopol,Mon- 28 Apr 2014 03-27-08 +0400,itar-tass,http://en.itar-tass.com/russia/729767?utm_medium=rss20
US planning new sanctions against Russia says White House aide,Mon- 28 Apr 2014 00-42-23 +0400,itar-tass,http://en.itar-tass.com/world/729762?utm_medium=rss20
Neo-Nazis holding action in Lvov to commemorate Ukrainian SS division,Sun- 27 Apr 2014 22-37-35 +0400,itar-tass,http://en.itar-tass.com/world/729750?utm_medium=rss20
Presidential candidate Poroshenko pledges Ukraine will stop buying Russian gas from 2015,Sun- 27 Apr 2014 21-49-54 +0400,itar-tass,http://en.itar-tass.com/world/729754?utm_medium=rss20
Leader of Bulgarian Socialist Party there are no grounds for sanctions against Russia,Sun- 27 Apr 2014 21-23-59 +0400,itar-tass,http://en.itar-tass.com/world/729749?utm_medium=rss20
Crimean authorities begin to de-mothball water well in northeastern areas,Sun- 27 Apr 2014 20-57-29 +0400,itar-tass,http://en.itar-tass.com/russia/729748?utm_medium=rss20
OSCE refutes Ukrainian foreign minister’s allegations about secr-gen’s visit to Kiev,Sun- 27 Apr 2014 19-50-02 +0400,itar-tass,http://en.itar-tass.com/world/729747?utm_medium=rss20
Bomb threat call at Mosfilm film studio proves to be hoax,Sun- 27 Apr 2014 19-17-33 +0400,itar-tass,http://en.itar-tass.com/russia/729744?utm_medium=rss20
Kiev city authorities cancel Victory Day parade in Kiev on May 9,Sun- 27 Apr 2014 19-11-02 +0400,itar-tass,http://en.itar-tass.com/world/729743?utm_medium=rss20
OSCE secretary general to arrive in Kiev late on Sunday,Sun- 27 Apr 2014 18-48-57 +0400,itar-tass,http://en.itar-tass.com/world/729742?utm_medium=rss20
Former deputies in western Ukraine speak out against march commemorating SS division,Sun- 27 Apr 2014 17-49-56 +0400,itar-tass,http://en.itar-tass.com/world/729737?utm_medium=rss20
Moscow’s police checking bomb warning call at Mosfilm film studio,Sun- 27 Apr 2014 17-47-11 +0400,itar-tass,http://en.itar-tass.com/russia/729735?utm_medium=rss20
Russia to continue efforts to have arrested Donetsk governor released as soon as possible,Sun- 27 Apr 2014 17-28-29 +0400,itar-tass,http://en.itar-tass.com/russia/729734?utm_medium=rss20
Putin to discuss integration of Crimea Sevastopol in Russia with lawmakers,Sun- 27 Apr 2014 17-26-31 +0400,itar-tass,http://en.itar-tass.com/russia/729732?utm_medium=rss20
Five candidates for Kiev mayor registered with territorial election comission,Sun- 27 Apr 2014 17-25-46 +0400,itar-tass,http://en.itar-tass.com/world/729731?utm_medium=rss20
Medvedev to meet with Crown Prince of Bahrain on April 29,Sun- 27 Apr 2014 17-24-53 +0400,itar-tass,http://en.itar-tass.com/russia/729730?utm_medium=rss20
Ukraine federalisation supporters protesting in 2 big east Ukrainian cities,Sun- 27 Apr 2014 16-02-51 +0400,itar-tass,http://en.itar-tass.com/world/729728?utm_medium=rss20
Russia celebrates Day of Russian Parliamentarism,Sun- 27 Apr 2014 13-46-41 +0400,itar-tass,http://en.itar-tass.com/russia/729723?utm_medium=rss20
Locals barricade administrative building to protect native east Ukraine city,Sun- 27 Apr 2014 11-52-24 +0400,itar-tass,http://en.itar-tass.com/world/729722?utm_medium=rss20
People’s militia fighters in Donetsk region capture three special task force officers,Sun- 27 Apr 2014 08-48-21 +0400,itar-tass,http://en.itar-tass.com/world/729714?utm_medium=rss20
In Ukrainian crisis conditions Switzerland gives constructive dialogue example - official,Sun- 27 Apr 2014 07-46-52 +0400,itar-tass,http://en.itar-tass.com/russia/729713?utm_medium=rss20
Gunmen cache with more than tonne of food found in Ingushetia,Sun- 27 Apr 2014 06-19-20 +0400,itar-tass,http://en.itar-tass.com/russia/729709?utm_medium=rss20
Duma to consider in autumn amendments to law on retailers cost saving,Sun- 27 Apr 2014 04-01-31 +0400,itar-tass,http://en.itar-tass.com/russia/729706?utm_medium=rss20
Kiev has no legal grounds for halting water supply to Crimea - deputy premier,Sat- 26 Apr 2014 22-56-35 +0400,itar-tass,http://en.itar-tass.com/world/729697?utm_medium=rss20
Ukrainian FM invites Russia to hold talks in Vienna April 28,Sat- 26 Apr 2014 22-55-01 +0400,itar-tass,http://en.itar-tass.com/world/729696?utm_medium=rss20
New sanctions against Russia can upset crisis resolution in Ukraine -official,Sat- 26 Apr 2014 22-40-35 +0400,itar-tass,http://en.itar-tass.com/russia/729695?utm_medium=rss20
Timoshenko says Ukraine should join NATO,Sat- 26 Apr 2014 21-45-13 +0400,itar-tass,http://en.itar-tass.com/world/729693?utm_medium=rss20
Lavrov urges OSCE to press for speedy release of political prisoners in Ukraine,Sat- 26 Apr 2014 21-08-23 +0400,itar-tass,http://en.itar-tass.com/russia/729692?utm_medium=rss20
Lavrov Kerry state 92 prc of chemicals removed from Syria,Sat- 26 Apr 2014 20-50-25 +0400,itar-tass,http://en.itar-tass.com/russia/729690?utm_medium=rss20
Lavrov calls for end to army operation against protesters in Ukraine,Sat- 26 Apr 2014 20-07-27 +0400,itar-tass,http://en.itar-tass.com/russia/729687?utm_medium=rss20
ICRC OSCE Kiev agree on visit to jailed Donetsk people’s governor,Sat- 26 Apr 2014 19-36-48 +0400,itar-tass,http://en.itar-tass.com/world/729684?utm_medium=rss20
Presidential candidate situation in Ukraine can be settled in 2 days,Sat- 26 Apr 2014 19-14-00 +0400,itar-tass,http://en.itar-tass.com/world/729679?utm_medium=rss20
No violation of Ukraine air space by Russian aircraft,Sat- 26 Apr 2014 17-32-47 +0400,itar-tass,http://en.itar-tass.com/russia/729673?utm_medium=rss20
Russian and German foreign ministers had discussed the crisis in Ukraine,Sat- 26 Apr 2014 16-40-54 +0400,itar-tass,http://en.itar-tass.com/russia/729671?utm_medium=rss20
RF was taking steps to settle situation over detention of military inspectors in Slavyansk,Sat- 26 Apr 2014 15-48-12 +0400,itar-tass,http://en.itar-tass.com/russia/729668?utm_medium=rss20
Russia to take all steps to free detained OSCE observers,Sat- 26 Apr 2014 13-21-57 +0400,itar-tass,http://en.itar-tass.com/russia/729664?utm_medium=rss20
Snowstorm hits Chelyabinsk reg leaving thousands without electricity,Sat- 26 Apr 2014 09-58-34 +0400,itar-tass,http://en.itar-tass.com/russia/729661?utm_medium=rss20
Beijing says sanctions against Russia unlikely to help resolve Ukraine’s problems,Mon- 28 Apr 2014 14-15-47 +0400,itar-tass,http://en.itar-tass.com/world/729808?utm_medium=rss20
Russian and German diplomats discuss detention of OSCE military observers in Ukraine,Mon- 28 Apr 2014 15-21-33 +0400,itar-tass,http://en.itar-tass.com/russia/729813?utm_medium=rss20
EU signs 1 billion euro 13 billion memorandum in aid for Ukraine,Mon- 28 Apr 2014 16-13-44 +0400,itar-tass,http://en.itar-tass.com/economy/729826?utm_medium=rss20
No reasons to use the 2011 Vienna document over Russia’s military exercises in Ukraine,Mon- 28 Apr 2014 17-24-46 +0400,itar-tass,http://en.itar-tass.com/world/729827?utm_medium=rss20
Russia ready to welcome Ukraine’s defense sector specialists — Putin,Mon- 28 Apr 2014 17-24-45 +0400,itar-tass,http://en.itar-tass.com/russia/729830?utm_medium=rss20
USA announces new sanctions against Russia,Mon- 28 Apr 2014 17-23-14 +0400,itar-tass,http://en.itar-tass.com/world/729837?utm_medium=rss20
Ukraine should launch dialogue with Russia — presidential candidate,Mon- 28 Apr 2014 17-32-22 +0400,itar-tass,http://en.itar-tass.com/world/729832?utm_medium=rss20
Slovakia agrees on gas reverse supplies to Ukraine,Mon- 28 Apr 2014 17-47-06 +0400,itar-tass,http://en.itar-tass.com/economy/729834?utm_medium=rss20
Military observers detained German Russian foreign ministers assess Ukraine seizure ,Mon- 28 Apr 2014 17-41-59 +0400,itar-tass,http://en.itar-tass.com/russia/729833?utm_medium=rss20
Gunman aimed to kill Kharkiv mayor — presidential candidate,Mon- 28 Apr 2014 18-34-58 +0400,itar-tass,http://en.itar-tass.com/world/729842?utm_medium=rss20
Moscow urges international community to condemn human rights violations in Ukraine,Mon- 28 Apr 2014 18-55-20 +0400,itar-tass,http://en.itar-tass.com/russia/729848?utm_medium=rss20
Protesters in Luhansk region name condition for vacating Security Service building,Mon- 28 Apr 2014 18-52-49 +0400,itar-tass,http://en.itar-tass.com/world/729846?utm_medium=rss20
